placekey,sg_c__parent_placekey,sg_c__location_name,sg_c__safegraph_brand_ids,sg_c__brands,sg_c__top_category,sg_c__sub_category,sg_c__naics_code,sg_c__latitude,sg_c__longitude,sg_c__street_address,sg_c__city,sg_c__region,sg_c__postal_code,sg_c__iso_country_code,sg_c__phone_number,sg_c__open_hours,sg_c__category_tags,sg_c__opened_on,sg_c__closed_on,sg_c__tracking_closed_since,sg_c__geometry_type
222-222@5pr-3cb-v2k,,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,38.968336,-94.515475,6400 E 87th St,Kansas City,MO,64138,US,,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [] }",,,,2/2/21,POLYGON
222-222@5pr-3d5-hnq,,Pizza Hut,SG_BRAND_1f2a4b730dc533366115ba7f5168b074,Pizza Hut,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,39.035085,-94.413535,14171 E US Highway 40,Kansas City,MO,64136,US,18164785143,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""23:00""]], ""Sat"": [[""11:00"", ""23:00""]], ""Sun"": [[""11:00"", ""22:00""]] }","Counter Service,Pizza,Lunch,Take Out and Delivery Only,Catering,Dinner",,,7/1/19,POLYGON
222-222@5pr-3d9-3yv,,Bank 10,,,Depository Credit Intermediation,Commercial Banking,522110,39.048981,-94.373433,17430 E 39th St S,Independence,MO,64055,US,18162525000,,,,,7/1/19,POLYGON
222-222@5pr-3gt-fzz,,Krystal Creations Ice Art,,,Electronics and Appliance Stores,Household Appliance Stores,443141,39.328931,-94.441124,13016 Spring Rd,Liberty,MO,64068,US,18165475835,,,,,7/1/19,POLYGON
222-222@5pr-46y-59f,,Redwood Of Raymore,,,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110,38.797708,-94.445981,600 E Sunrise Dr,Raymore,MO,64083,US,,,,,,7/1/19,POLYGON
222-222@5pr-4jh-s5z,,Friendship Baptist Church,,,Religious Organizations,Religious Organizations,813110,38.823271,-93.915998,929 NW 375th Rd,Holden,MO,64040,US,18167325707,,,,,7/1/19,POLYGON
222-222@5pr-4nj-kmk,,Randy's Lakeview Nursery & Stone,,,Building Equipment Contractors,"Plumbing, Heating, and Air-Conditioning Contractors",238220,38.94475,-94.336728,1820 NE County Park Rd,Lees Summit,MO,64086,US,18165251111,"{ ""Mon"": [[""8:00"", ""16:00""]], ""Tue"": [[""8:00"", ""16:00""]], ""Wed"": [[""8:00"", ""16:00""]], ""Thu"": [[""8:00"", ""16:00""]], ""Fri"": [[""8:00"", ""16:00""]], ""Sat"": [[""8:00"", ""13:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pr-593-hqz,,Reith Don,,,Offices of Other Health Practitioners,Offices of Chiropractors,621310,38.973051,-94.971315,33255 Lexington Ave,De Soto,KS,66018,US,19135833700,,,,,7/1/19,POLYGON
222-222@5pr-5ft-5xq,,Vaughn Funeral Home,,,Death Care Services,Funeral Homes and Funeral Services,812210,39.432358,-94.911128,18905 State Route 45 N,Weston,MO,64098,US,18163862281,,,,,7/1/19,POLYGON
222-222@5pr-5kq-m49,,Riverstone Retirement Community,,,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,,6233,39.258193,-94.669552,9000 N Congress Ave,Kansas City,MO,64153,US,18162980371,,,,,7/1/19,POLYGON
222-222@5pr-5vj-xbk,,Stanley Veterinary Clinic,,,"Other Professional, Scientific, and Technical Services",Veterinary Services,541940,38.85394,-94.686037,8695 W 151st St,Overland Park,KS,66223,US,,,,,,7/1/19,POLYGON
222-222@5pr-5wq-5vf,222-224@5pr-5wq-5vf,Ys Kids Club At Scarborough Elementary,,,Child Day Care Services,Child Day Care Services,624410,38.851027,-94.789283,2000 S Lindenwood Dr,Olathe,KS,66062,US,19137822641,,,,,7/1/19,POLYGON
222-222@5pr-5y9-35z,,Adara Overland Park,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,38.885445,-94.732043,13401 Westgate St,Overland Park,KS,66213,US,,,,,,7/1/19,POLYGON
222-222@5pr-668-yjv,,Lucas Towing,,,Support Activities for Road Transportation,Motor Vehicle Towing,488410,38.866603,-94.840345,1303 W Ott St,Olathe,KS,66061,US,,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""9:00"", ""12:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pr-6cb-bzf,,Heart of America Eye Care Shawnee Mission,,,Offices of Other Health Practitioners,Offices of Optometrists,621320,38.99352,-94.688332,8800 W 75th St,Merriam,KS,66204,US,,,,,,7/1/19,POLYGON
222-222@5pr-6cp-vpv,,CABLE DAHMER BUICK GMC OF KANSAS CITY,"SG_BRAND_432e7a266973e1b0c0d0606f6594da65,SG_BRAND_4cde3d2795beab885ee879d833cabda1","GMC (General Motors Company),Buick",Automobile Dealers,New Car Dealers,441110,38.939499,-94.603499,907 W 104th St,Kansas City,MO,64114,US,,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pr-6cv-7bk,,Massage Heights,SG_BRAND_48cf94832e223f5f6db8bf8e9c3f5af7,Massage Heights,Personal Care Services,Other Personal Care Services,812199,38.969003,-94.606927,8600 Ward Pkwy Ste 2115,Kansas City,MO,64114,US,,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""18:00""]] }",,,,7/1/19,POLYGON
222-222@5pr-6ff-fj9,,O'malley Insurance Services,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,38.991077,-94.622777,7610 Canterbury St,Prairie Village,KS,66208,US,19133833950,,,,,7/1/19,POLYGON
222-222@5pr-6fx-cyv,,Dent Physicians,,,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance",811121,39.03055,-94.692422,5400 Merriam Dr,Merriam,KS,66203,US,,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pr-6k5-sbk,,Oakwood Country Club,,,Other Amusement and Recreation Industries,Golf Courses and Country Clubs,713910,38.944108,-94.553356,9800 Grandview Rd,Kansas City,MO,64137,US,18167613670,,,,,7/1/19,POLYGON
222-222@5pr-6k9-j5f,,Evangel,,,Religious Organizations,Religious Organizations,813110,38.940928,-94.572858,1414 E 103rd St,Kansas City,MO,64131,US,,,,,,7/1/19,POLYGON
222-222@5pr-7wc-qcq,,Lexington High,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,39.174111,-93.867813,2309 Aull Ln,Lexington,MO,64067,US,16602594391,,,,,7/1/19,POLYGON
222-222@5pr-mz3-9cq,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110,35.752346,-91.501136,210 S Main St,Sulphur Rock,AR,72579,US,18707998395,"{ ""Mon"": [[""0:01"", ""23:59""]], ""Tue"": [[""0:01"", ""23:59""]], ""Wed"": [[""0:01"", ""23:59""]], ""Thu"": [[""0:01"", ""23:59""]], ""Fri"": [[""0:01"", ""23:59""]], ""Sat"": [[""0:01"", ""23:59""]], ""Sun"": [[""0:01"", ""23:59""]] }",,,,12/24/20,POLYGON
222-222@5pr-r29-q4v,,Oil City Church Of Christ,,,Religious Organizations,Religious Organizations,813110,35.69701,-91.622824,2102 Batesville Blvd,Southside,AR,72501,US,18702511818,,,,,7/1/19,POLYGON
222-222@5pr-yh3-5fz,,Central Elementary School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,35.029168,-90.79889,801 Deadrick Rd,Forrest City,AR,72335,US,18706332141,,,,,7/1/19,POLYGON
222-222@5pr-yy4-7bk,,Calvary Fellowship Church,,,Religious Organizations,Religious Organizations,813110,35.253412,-90.799973,951 Highway 64,Wynne,AR,72396,US,18702383773,,,,,7/1/19,POLYGON
222-222@5pr-zpq-s89,,Cypress Corner Bar B Q,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,34.656954,-90.768238,8298 Highway 1 S,Lexa,AR,72355,US,18702956546,,BBQ and Southern Food,,,7/1/19,POLYGON
222-222@5ps-32r-skf,,B & C Auto Sales,,,Automotive Repair and Maintenance,General Automotive Repair,811111,35.621135,-90.324513,12528 Highway 140 N,Lepanto,AR,72354,US,18704756256,,,,,7/1/19,POLYGON
222-222@5ps-378-b6k,,Graybar Memphis,SG_BRAND_e2060e5241bf08e47e00f199e1bee668,Graybar,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,Other Electronic Parts and Equipment Merchant Wholesalers,423690,35.124396,-90.012232,1474 Lamar Ave,Memphis,TN,38104,US,19013224900,"{ ""Mon"": [[""7:00"", ""17:00""]], ""Tue"": [[""7:00"", ""17:00""]], ""Wed"": [[""7:00"", ""17:00""]], ""Thu"": [[""7:00"", ""17:00""]], ""Fri"": [[""7:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,12/8/20,POLYGON
222-222@5ps-37f-jjv,,Apartments at 1368 Court Ave,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,35.140505,-90.015321,1368 Court Ave,Memphis,TN,38104,US,,,,,,7/1/19,POLYGON
222-222@5ps-38b-vvf,,South Junction Apartments,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,35.127677,-90.061069,9 E Carolina Ave,Memphis,TN,38103,US,,,,,,7/1/19,POLYGON
222-222@5ps-38k-6c5,,Bridgeport Manor Apartments,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,35.05537,-90.017375,1368 Winchester Rd # 1438,Memphis,TN,38116,US,,,,,,7/1/19,POLYGON
222-222@5ps-38s-dn5,,Primerica,SG_BRAND_8f0572de082ff57a9abbc4bd60826253,Primerica,Other Financial Investment Activities,Investment Advice,523930,35.073574,-90.001963,1840 Pyramid Pl Ste 247,Memphis,TN,38132,US,19014611190,,,,,6/12/21,POLYGON
222-222@5ps-394-3kf,,Memphis Tires Towing Service,,,Support Activities for Road Transportation,Motor Vehicle Towing,488410,35.150053,-89.966413,645 Harrell St,Memphis,TN,38112,US,19012352271,,,,,7/1/19,POLYGON
222-222@5ps-39x-r49,zzz-222@5ps-39x-r49,Club Handy,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,35.139661,-90.05111,200 Beale St,Memphis,TN,38103,US,19016545171,,"Bar or Pub,Late Night,Dive Bar",,,7/1/19,POLYGON
222-222@5ps-3fd-cdv,,Faith Christian Church,,,Religious Organizations,Religious Organizations,813110,35.085093,-89.896923,4965 Willow Rd,Memphis,TN,38117,US,19016838253,,,,,7/1/19,POLYGON
222-222@5ps-3ff-6zf,,Jack Pirtles,,,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,35.080319,-89.887188,2520 Mount Moriah Rd,Memphis,TN,38115,US,,,BBQ and Southern Food,,,7/1/19,POLYGON
222-222@5ps-3n6-bff,,Chuck Hutton Toyota,SG_BRAND_5166fd3fee463b7c9992293e84f098f0,Toyota,Automobile Dealers,New Car Dealers,441110,35.023229,-90.004276,4601 Hutton Way,Memphis,TN,38116,US,19013453200,"{ ""Mon"": [[""8:30"", ""18:00""]], ""Tue"": [[""8:30"", ""18:00""]], ""Wed"": [[""8:30"", ""18:00""]], ""Thu"": [[""8:30"", ""18:00""]], ""Fri"": [[""8:30"", ""18:00""]], ""Sat"": [[""8:30"", ""18:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5ps-3qk-6zf,,Marathon,SG_BRAND_faaaac9cb18c500a97c03eec92d6b8fc,Marathon,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,35.21305,-89.916552,3230 Austin Peay Hwy,Memphis,TN,38128,US,19019378372,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,7/1/19,POLYGON
222-222@5ps-3tc-6c5,,Murphy USA,SG_BRAND_00ae747ff5ad20e83df439ab616ecc35,Murphy USA,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,35.139969,-89.796285,545 N Germantown Pkwy,Cordova,TN,38018,US,19017546978,"{ ""Mon"": [[""5:00"", ""22:00""]], ""Tue"": [[""5:00"", ""22:00""]], ""Wed"": [[""5:00"", ""22:00""]], ""Thu"": [[""5:00"", ""22:00""]], ""Fri"": [[""5:00"", ""22:00""]], ""Sat"": [[""5:00"", ""22:00""]], ""Sun"": [[""6:00"", ""22:00""]] }",,,,7/1/19,POLYGON
222-222@5ps-3ts-rx5,,Riverdale Elementary School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,35.101657,-89.816864,7391 Neshoba Rd,Germantown,TN,38138,US,19017562300,,,,,7/1/19,POLYGON
222-222@5ps-3v7-ch5,,Sleep Station Mattress Outlet,,,Furniture Stores,Furniture Stores,442110,35.156887,-89.888668,5266 Summer Ave Ste 25,Memphis,TN,38122,US,19013341164,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""17:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [[""13:00"", ""18:00""]] }",,,,7/1/19,POLYGON
222-222@5ps-3v9-yqf,,Bank of America,SG_BRAND_73971897e96ce01fa107640e730f905a,Bank of America,Depository Credit Intermediation,Commercial Banking,522110,35.148974,-89.902396,4750 Summer Ave,Memphis,TN,38122,US,,"{ ""Mon"": [[""9:00"", ""16:00""]], ""Tue"": [], ""Wed"": [[""9:00"", ""16:00""]], ""Thu"": [[""9:00"", ""16:00""]], ""Fri"": [[""9:00"", ""16:00""]], ""Sat"": [[""9:00"", ""12:00""]], ""Sun"": [] }",,,,1/19/21,POLYGON
222-222@5ps-3ym-bx5,,Regions Bank,SG_BRAND_fdb30999f82136215abf97c7bd020043,Regions Bank,Depository Credit Intermediation,Commercial Banking,522110,35.208419,-90.204561,141 Block St,Marion,AR,72364,US,,"{ ""Mon"": [[""8:30"", ""16:00""]], ""Tue"": [[""8:30"", ""16:00""]], ""Wed"": [[""8:30"", ""16:00""]], ""Thu"": [[""8:30"", ""16:00""]], ""Fri"": [[""8:30"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
